pdb,MSAGPT Augmented MSA,MSAFlow Augmented MSA,Ground Truth MSA
T1026,0.819,0.819,0.826
T1027,0.524,0.503,0.509
T1123-D1,0.660,0.717,0.777
T1064,0.829,0.840,0.833
T1074,0.629,0.623,0.635
T1031,0.308,0.450,0.299
T1033,0.370,0.453,0.351
T1035,0.431,0.508,0.569
T1039,0.549,0.719,0.442
T1040,0.268,0.384,0.367
T1042,0.281,0.309,0.292
T1043,0.320,0.345,0.320
T1119-D1,0.548,0.744,0.541
